Country,year,Region,Health expenditure per capita US,"Hospital beds (per 1,000 people)",Number of physicians(per 1000 people),"Mortality from CVD,cancer,diabetes or CRD",Population growth (annual %)
Denmark,2002,Europe & Central Asia,2895.80737305,4.29,3.0383,17.3,0.319487125340996
Denmark,2003,Europe & Central Asia,3607.04296875,4.13,3.083,16.5,0.272010444031566
Denmark,2004,Europe & Central Asia,4194.87353516,3.97,3.2276,15.8,0.258432282052875
Denmark,2005,Europe & Central Asia,4442.75537109,3.86,3.3333,15.1,0.275481733409308
Denmark,2006,Europe & Central Asia,4778.89160156,3.79,3.4192,15.1,0.328645158919929
Denmark,2007,Europe & Central Asia,5468.37939453,3.69,3.4527,14.7,0.443466054321374
Denmark,2008,Europe & Central Asia,6137.77636719,3.57,3.5768,14.1,0.587547590258978
Denmark,2009,Europe & Central Asia,6221.68896484,3.49,3.6488,13.9,0.535079062079429
Denmark,2010,Europe & Central Asia,6011.53808594,3.5,3.7211,13.5,0.444197154509531
Denmark,2011,Europe & Central Asia,6281.00439453,3.13,3.7808,12.9,0.411737855195019
Denmark,2013,Europe & Central Asia,6236.55419922,3.07,3.8335,12.3,0.416901360752097
Denmark,2014,Europe & Central Asia,6380.78466797,2.69,3.8632,12.3,0.507053283010163
Denmark,2015,Europe & Central Asia,5469.33496094,2.53,3.9257,11.9,0.706423849687002
Denmark,2016,Europe & Central Asia,5565.59326172,2.6,4.0099,11.9,0.780392644135167
Djibouti,2004,Middle East & North Africa,40.28805161,1.61,0.1672,23.3,1.56216645902997
Djibouti,2005,Middle East & North Africa,40.95962524,1.61,0.1788,23.1,1.49843913434668
Djibouti,2006,Middle East & North Africa,47.32995605,1.61,0.2328,22.7,1.43315745762091
Djibouti,2010,Middle East & North Africa,56.2014122,1.42,0.229,22.5,1.48370781049189
Djibouti,2014,Middle East & North Africa,73.12316895,1.4,0.2237,22.4,1.72966983945298
Dominican Republic,2008,Latin America & Caribbean,240.41107178,1.57,1.098,16.9,1.26855361051385
Dominican Republic,2011,Latin America & Caribbean,335.00128174,1.74,1.5268,17.2,1.2107997611352601
Dominican Republic,2017,Latin America & Caribbean,443.67068481,1.56,1.56,1,1.10348624035038
Ecuador,2002,Latin America & Caribbean,96.82357788,1.5,1.5667,13.9,1.75615767005049
Ecuador,2003,Latin America & Caribbean,131.59963989,1.7,1.4974,13.7,1.70646301299709
Ecuador,2009,Latin America & Caribbean,272.46380615,1.6,1.5983,13.6,1.62863212383321
Ecuador,2010,Latin America & Caribbean,330.00054932,1.59,2.1111,13.1,1.58940945340249
Ecuador,2011,Latin America & Caribbean,409.03677368,1.62,1.6582,12.9,1.5387578951487
Ecuador,2015,Latin America & Caribbean,525.99731445,1.57,2.0648,11.7,1.61793842153926
Ecuador,2016,Latin America & Caribbean,502.74447632,1.39,2.0368,11.9,1.70687458770944
"Egypt, Arab Rep.",2000,Middle East & North Africa,73.65684509,2.1,2.118,1,1.93038262324663
"Egypt, Arab Rep.",2003,Middle East & North Africa,53.82350159,2.17,0.5285,29.5,1.85861819024778
"Egypt, Arab Rep.",2005,Middle East & North Africa,63.86014175,2.2,2.401,1,1.80571677475631
"Egypt, Arab Rep.",2007,Middle East & North Africa,78.95716858,2.1,2.604,29.1,1.75169308738488
"Egypt, Arab Rep.",2009,Middle East & North Africa,106.66519165,1.73,2.804,29.9,1.86445643392217
"Egypt, Arab Rep.",2010,Middle East & North Africa,113.24819946,1.73,2.83,29.9,1.98480507963281
"Egypt, Arab Rep.",2014,Middle East & North Africa,167.24708557,1.56,1.138,29.2,2.25925135870425
"Egypt, Arab Rep.",2015,Middle East & North Africa,183.43261719,1.56,0.8217,30.4,2.20702533886058
"Egypt, Arab Rep.",2016,Middle East & North Africa,153.48695374,1.43,0.8214,29.4,2.14522226806526
"Egypt, Arab Rep.",2017,Middle East & North Africa,113.97537994,1.43,0.7993,28.1,2.09083266789985
El Salvador,2005,Latin America & Caribbean,204.89703369,0.9,1.711,10.4,0.469082938733706
El Salvador,2006,Latin America & Caribbean,208.53170776,0.9,1.5,10.7,0.449589963729516
El Salvador,2008,Latin America & Caribbean,224.84251404,0.8,1.8823,10.4,0.42421860025302
El Salvador,2010,Latin America & Caribbean,245.70858765,1,1.596,10.5,0.424566261779668
El Salvador,2016,Latin America & Caribbean,293.25802612,1.06,1.5662,10.4,0.489163801354667
Estonia,2000,Europe & Central Asia,209.71313477,7.04,3.1242,1,0.483707161729931
Estonia,2001,Europe & Central Asia,214.70414734,6.6,3.0502,26.9,-0.63696312445507
Estonia,2002,Europe & Central Asia,250.48020935,5.98,3.0867,26.2,-0.633433796423808
Estonia,2003,Europe & Central Asia,349.05804443,5.73,3.1153,25.5,-0.627622448059203
Estonia,2004,Europe & Central Asia,455.06811523,5.64,3.1791,24.8,-0.597820510395586
Estonia,2005,Europe & Central Asia,524.68011475,5.38,3.143,23.7,-0.572255524659659
Estonia,2006,Europe & Central Asia,600.50787354,5.55,3.1762,1,-0.589655559840225
Estonia,2007,Europe & Central Asia,832.73309326,5.48,3.2508,23.3,-0.456188535090031
Estonia,2008,Europe & Central Asia,1038.56225586,5.63,3.3348,1,-0.268133719541207
Estonia,2009,Europe & Central Asia,963.01965332,5.37,3.2767,20.7,-0.192768077420229
Estonia,2010,Europe & Central Asia,926.4541626,5.27,3.2422,19.9,-0.22805796852935
Estonia,2011,Europe & Central Asia,1015.96826172,5.36,3.2929,19.1,-0.303582823643979
Estonia,2012,Europe & Central Asia,1013.31420898,5.53,3.2822,18.8,-0.357944411443807
Estonia,2013,Europe & Central Asia,1144.64685059,5.01,3.3318,18.2,-0.355891802625531
Estonia,2014,Europe & Central Asia,1238.92700195,5.01,3.3564,1,-0.262256175097854
Estonia,2015,Europe & Central Asia,1112.9140625,4.96,3.4152,17.1,0.0655525295417938
Estonia,2016,Europe & Central Asia,1186.1027832,4.76,3.4546,17.2,0.0291122255540077
Estonia,2017,Europe & Central Asia,1350.38061523,4.69,3.4629,16.9,0.121070631466687
Ethiopia,2004,Sub-Saharan Africa,5.88065052,0.2,0.0269,23.7,2.82639638125662
Ethiopia,2006,Sub-Saharan Africa,8.66179371,0.2,0.0269,22.4,2.7681398970847
Ethiopia,2008,Sub-Saharan Africa,13.45180225,0.2,0.0251,21.2,2.74102992691886
Ethiopia,2016,Sub-Saharan Africa,25.07559586,0.33,0.0464,17.4,2.70807265338359
Fiji,2008,East Asia & Pacific,143.76724243,2.1,0.3986,1,1.09079599403503
Fiji,2009,East Asia & Pacific,128.81492615,2.1,0.4358,40.1,0.974703300910947
Fiji,2013,East Asia & Pacific,167.81893921,2.19,0.8156,38.8,0.0620570008249373
Fiji,2015,East Asia & Pacific,179.22154236,1.87,0.86,38.5,0.251861863930646
Finland,2000,Europe & Central Asia,1722.8326416,7.54,2.8541,14.7,0.2076065154133
Finland,2001,Europe & Central Asia,1806.0501709,7.46,2.8563,13.8,0.227687341886374
Finland,2002,Europe & Central Asia,2054.26293945,7.35,2.892,13.6,0.242381050233372
Finland,2003,Europe & Central Asia,2606.77587891,7.24,2.9215,13.4,0.238457240068217
Finland,2004,Europe & Central Asia,3035.97875977,7.1,2.9509,13.4,0.290350361518584
Finland,2005,Europe & Central Asia,3228.95214844,7.05,2.9913,1,0.342248594286999
Finland,2006,Europe & Central Asia,3407.66552734,6.99,3.0262,12.5,0.383777136305104
Finland,2007,Europe & Central Asia,3911.96582031,6.73,3.0351,12.5,0.425429832100631
Finland,2008,Europe & Central Asia,4481.21679688,6.57,3.0618,12.2,0.465549284507694
Finland,2009,Europe & Central Asia,4347.12158203,6.25,3.0861,12.2,0.478246393482911
Finland,2010,Europe & Central Asia,4249.60205078,5.85,3.2653,1,0.457494535465831
Finland,2011,Europe & Central Asia,4715.93505859,5.52,3.1221,11.7,0.463558707499131
Finland,2012,Europe & Central Asia,4572.5234375,5.3,3.2854,11.4,0.475809486683209
Finland,2013,Europe & Central Asia,4892.09716797,4.87,3.2966,11.1,0.460723772785295
Finland,2014,Europe & Central Asia,4922.67578125,4.53,3.3922,10.6,0.413560207519414
Finland,2015,Europe & Central Asia,4127.14990234,4.35,3.3309,10.6,0.329383885818507
Finland,2016,Europe & Central Asia,4107.06298828,3.97,3.8118,10.4,0.287421401687637
France,2000,Europe & Central Asia,2161.85302734,7.97,3.3547,14.1,0.684945783642239
France,2001,Europe & Central Asia,2192.71582031,7.83,3.3871000000000002,13.8,0.727789664461319
France,2002,Europe & Central Asia,2449.75830078,7.71,3.4105,13.6,0.727226637519812
France,2003,Europe & Central Asia,3006.3059082,7.55,3.4238,13.4,0.708771177676303
France,2004,Europe & Central Asia,3458.62744141,7.39,3.4395,12.8,0.736332748710216
France,2005,Europe & Central Asia,3575.02514648,7.22,3.441,12.7,0.753799176960609
France,2006,Europe & Central Asia,3814.27636719,7.11,3.4357,12.4,0.697191228293622
France,2007,Europe & Central Asia,4318.73876953,7.06,3.4189,12.2,0.618708359125178
France,2008,Europe & Central Asia,4812.53662109,6.9,3.4156,1,0.558843467315968
France,2009,Europe & Central Asia,4741.41552734,6.66,3.3693,11.9,0.51448954376938
France,2010,Europe & Central Asia,4598.3203125,6.43,3.3736,11.8,0.494040602950225
France,2011,Europe & Central Asia,4939.31054688,6.36,3.1622,11.5,0.483675544447657
France,2012,Europe & Central Asia,4651.10839844,6.34,3.1745,11.8,0.483998961260596
France,2013,Europe & Central Asia,4901.93310547,6.28,3.1948,11.3,0.514773829097755
France,2014,Europe & Central Asia,4998.66845703,6.2,3.2115,1,0.473706907839969
France,2015,Europe & Central Asia,4208.38623047,6.13,3.2239,1,0.355569240058298
France,2016,Europe & Central Asia,4268.17431641,6.06,3.2376,10.9,0.263868788565368
France,2017,Europe & Central Asia,4424.5078125,5.98,3.2565,10.8,0.29020211635109
Gabon,2008,Sub-Saharan Africa,285.39224243,1.3,0.0968,27.5,3.07422517020279
"Gambia, The",2005,Sub-Saharan Africa,35.80473328,0.8,0.1075,22.9,3.10661969198418
Georgia,2000,Europe & Central Asia,51.85281754,4.81,3.8371,1,-1.9446291567975
Georgia,2001,Europe & Central Asia,55.22227478,4.45,3.7156,28.4,-1.55123839698929
Georgia,2002,Europe & Central Asia,64.06044006,4.2,3.8069,31.8,-0.89725367267161
Georgia,2003,Europe & Central Asia,77.73462677,4.19,3.8267,29.5,-0.675365805865971
Georgia,2004,Europe & Central Asia,100.87417603,4.12,3.8009,29.2,-0.619262410024726
Georgia,2005,Europe & Central Asia,126.44508362,3.92,3.8164,26.6,-0.635292218459481
Georgia,2006,Europe & Central Asia,145.05230713,3.74,3.8683,26.7,-0.568484712403705
Georgia,2007,Europe & Central Asia,186.61778259,3.32,3.9027,26.5,-0.521646734447263
Georgia,2008,Europe & Central Asia,268.14035034,3.21,4.0001,1,-0.303790529341209
Georgia,2009,Europe & Central Asia,257.06176758,3.09,4.2219,1,-0.888185042750245
Georgia,2010,Europe & Central Asia,271.0166626,2.99,4.4466,27.1,-0.729475256932528
Georgia,2011,Europe & Central Asia,296.68869019,2.81,4.5004,26.4,-0.802164039694326
Georgia,2012,Europe & Central Asia,326.47607422,2.53,4.4868,25.3,-0.736565518814038
Georgia,2013,Europe & Central Asia,334.6890564,2.59,4.5145,25.1,-0.300972141406188
Georgia,2014,Europe & Central Asia,345.25598145,2.89,4.7754,25.1,0.0469539002549217
Germany,2000,Europe & Central Asia,2344.35473633,9.12,3.2785,16.1,0.135431600393084
Germany,2001,Europe & Central Asia,2346.61499023,9.01,3.329,15.5,0.168225361337335
Germany,2002,Europe & Central Asia,2567.49145508,8.87,3.36,15.3,0.168128319406931
Germany,2003,Europe & Central Asia,3152.78051758,8.74,3.3896,1,0.0553633035873241
Germany,2004,Europe & Central Asia,3459.80957031,8.58,3.4104,14.4,-0.021709727650009
Germany,2005,Europe & Central Asia,3558.19824219,8.47,3.4314,14.1,-0.0567782618352031
Germany,2006,Europe & Central Asia,3697.92163086,8.3,3.4748,13.6,-0.112797497644931
Germany,2007,Europe & Central Asia,4182.79931641,8.24,3.5287,13.5,-0.133718572600486
Germany,2008,Europe & Central Asia,4669.63525391,8.21,3.5863,13.3,-0.190142844695674
Germany,2009,Europe & Central Asia,4674.78320313,8.24,3.6638,13.2,-0.253383410163402
Germany,2010,Europe & Central Asia,4611.81054688,8.25,3.7567,1,-0.153198446937304
Germany,2011,Europe & Central Asia,5036.48486328,8.38,3.8491,12.8,-1.8537146287573
Germany,2012,Europe & Central Asia,4762.84765625,8.34,3.9197,12.6,0.187727800567293
Germany,2013,Europe & Central Asia,5096.82080078,8.28,4.0087,12.8,0.272900214681538
Germany,2014,Europe & Central Asia,5304.31884766,8.23,4.0846,12.4,0.416877359168292
Germany,2015,Europe & Central Asia,4622.20654297,8.13,4.1342,12.6,0.865702643950251
Germany,2016,Europe & Central Asia,4742.03417969,8.06,4.1944,12.4,0.807218538573871
Germany,2017,Europe & Central Asia,5052.67333984,1,4.2488,12.1,0.373724559895838
Ghana,2009,Sub-Saharan Africa,67.71266937,0.9,0.0841,25.7,2.5438215148128
Ghana,2011,Sub-Saharan Africa,100.25246429,0.9,0.0979,25.4,2.42440178256109
Greece,2000,Europe & Central Asia,885.41040039,4.77,4.2637,14.9,0.409041838238246
Greece,2001,Europe & Central Asia,1004.81542969,4.81,4.3059,14.6,0.51988446396193
Greece,2002,Europe & Central Asia,1168.82409668,4.75,4.5024,14.2,0.366566462148184
Greece,2003,Europe & Central Asia,1566.40979004,4.74,4.6551,14.2,0.238643175320258
Greece,2004,Europe & Central Asia,1782.69592285,4.73,4.8013,14.1,0.247413542822812
Greece,2005,Europe & Central Asia,1935.26757813,4.78,3.384,13.6,0.293249074052818
Greece,2006,Europe & Central Asia,2052.87548828,4.87,3.4833,13.5,0.30033180096664
Greece,2007,Europe & Central Asia,2426.75952148,4.88,3.6707,13.9,0.254757581935775
Greece,2008,Europe & Central Asia,2840.50854492,4.84,3.7576,13.6,0.265457836726293
Greece,2009,Europe & Central Asia,2809.05957031,4.93,3.8709,13.5,0.263026401346927
Greece,2010,Europe & Central Asia,2564.36987305,4.48,3.9442,13.4,0.128880432668041
Greece,2011,Europe & Central Asia,2338.91577148,4.47,4.0414,13.6,-0.147951277402184
Greece,2012,Europe & Central Asia,1948.24816895,4.45,4.1343,13.9,-0.540752950543684
Greece,2013,Europe & Central Asia,1813.8782959,4.24,4.2155,13.5,-0.725120806658085
Greece,2014,Europe & Central Asia,1705.11437988,4.24,5.2167,1,-0.666113290031891
Greece,2015,Europe & Central Asia,1452.07446289,4.25,5.2527,13.1,-0.658861360878339
Greece,2016,Europe & Central Asia,1488.1986084,4.2,5.4036,12.5,-0.415913028277122
Greece,2017,Europe & Central Asia,1505.94140625,4.21,5.4789,12.5,-0.197783224759792
Grenada,2000,Latin America & Caribbean,270.98391724,6.2,0.5642,1,0.39753348076311
Grenada,2002,Latin America & Caribbean,322.0144043,6.9,0.5598,22.7,0.380901281300944
Grenada,2003,Latin America & Caribbean,300.36419678,5.6999998093,0.5577,23.2,0.353498506709139
Grenada,2017,Latin America & Caribbean,466.74960327,3.57,1.4067,1,0.552600021547813
Guatemala,2009,Latin America & Caribbean,168.18478394,0.6,0.9039,16.3,1.88106343818981
Guinea,2005,Sub-Saharan Africa,19.99720573,0.3,0.1032,23.4,2.03891508960548
Guinea-Bissau,2009,Sub-Saharan Africa,39.16440582,1,0.0836,29.4,2.52390177053107
Guyana,2009,Latin America & Caribbean,154.46517944000001,1,0.2153,33.9,0.12084043776661
Honduras,2010,Latin America & Caribbean,166.16116333,0.8,0.295,16.9,2.02441331695389
Honduras,2013,Latin America & Caribbean,178.24165344,0.65,0.9839,20.9,1.81013079423251
Honduras,2016,Latin America & Caribbean,180.16775513,0.64,0.5982,19.3,1.71775974956218
Honduras,2017,Latin America & Caribbean,171.51489258,0.64,0.3089,19.5,1.69227148219463
Hungary,2000,Europe & Central Asia,313.10858154,8.16,3.0033,29.1,-0.259764908288633
Hungary,2001,Europe & Central Asia,359.69747925,7.92,3.246,27.2,-0.229379183308447
Hungary,2002,Europe & Central Asia,473.12783813,7.91,3.6681,27.1,-0.28475137719698
Hungary,2003,Europe & Central Asia,682.86566162,7.9,3.7708,27.2,-0.286433268128688
Hungary,2004,Europe & Central Asia,798.45361328,7.89,3.3345,26.8,-0.221439378654807
Hungary,2005,Europe & Central Asia,895.20330811,7.91,2.7816,26.7,-0.198878843237103
Hungary,2006,Europe & Central Asia,893.20300293,7.98,3.0406,26.2,-0.155716484651578
Hungary,2007,Europe & Central Asia,1003.25817871,7.19,2.8121,25.9,-0.154915158060948
Hungary,2008,Europe & Central Asia,1117.20227051,7.11,3.1049,25.3,-0.17509736747488
Hungary,2009,Europe & Central Asia,943.68768311,7.14,3.0399,25.3,-0.154908813950621
Hungary,2010,Europe & Central Asia,983.11083984,7.18,2.8896,24.5,-0.226013875689698
Hungary,2011,Europe & Central Asia,1063.43225098,7.19,2.9811,24.5,-0.283360435946948
Hungary,2012,Europe & Central Asia,961.1383667,1,3.1062,23.7,-0.516437606548041
Hungary,2013,Europe & Central Asia,990.63116455,7.04,3.2284,23.1,-0.27536875707442
Hungary,2014,Europe & Central Asia,1006.15649414,6.98,3.3443,1,-0.269378767165116
Hungary,2015,Europe & Central Asia,870.51922607,6.99,3.1178,23.2,-0.237855001984657
Hungary,2016,Europe & Central Asia,914.19354248,1,3.2313,22.8,-0.295110604845478
Hungary,2017,Europe & Central Asia,981.03887939,7.02,3.3447,23.1,-0.265860932255517
Iceland,2002,Europe & Central Asia,3091.28833008,7.5,3.6067,12.2,0.892596377462957
Iceland,2006,Europe & Central Asia,5071.86962891,5.3391,3.6537,1,2.34742243028387
Iceland,2007,Europe & Central Asia,6085.48486328,4.12,3.6894,10.6,2.53008548940662
Iceland,2008,Europe & Central Asia,4946.0625,3.91,3.7182,10.2,1.85957217059918
Iceland,2009,Europe & Central Asia,3693.55688477,3.7,3.6761,9.9,0.341241978970882
Iceland,2010,Europe & Central Asia,3644.80273438,3.58,3.5654,9.9,-0.143903000294037
Iceland,2011,Europe & Central Asia,3866.70727539,3.29,3.456,9.7,0.305468368224399
Iceland,2012,Europe & Central Asia,3705.37524414,3.25,3.5074,9.4,0.532100734916982
Iceland,2013,Europe & Central Asia,4028.83154297,3.22,3.5697,9.3,0.945885900369151
Iceland,2014,Europe & Central Asia,4474.37402344,3.16,3.6306,9.3,1.11250475522796
Iceland,2015,Europe & Central Asia,4281.57568359,3.12,3.7826,9.2,1.04194038662969
Iceland,2016,Europe & Central Asia,5067.69091797,3.13,3.8892,8.8,1.38808149583838
Iceland,2017,Europe & Central Asia,6109.91210938,3.06,3.9773,8.7,2.34558267643862
India,2000,South Asia,18.50239372,0.65,0.5258,25.1,1.76812551036934
India,2001,South Asia,19.79767799,0.64,0.5368,24.9,1.72876856952673
India,2002,South Asia,20.23548126,0.63,0.5552,24.6,1.68956166096073
India,2003,South Asia,21.99779892,0.8999999762,0.5627,23.9,1.65149126857663
India,2005,South Asia,27.66702271,0.41,0.5758,22.5,1.57970914338086
India,2006,South Asia,29.56233788,0.42,0.5852,22.8,1.5456964390645
India,2007,South Asia,35.85623932,0.41,0.5984,23.1,1.50922198555755
India,2008,South Asia,37.88212204,0.41,0.6136,23.3,1.46488991482359
India,2009,South Asia,38.30339432,0.44,0.622,23.2,1.41058271379931
India,2010,South Asia,45.12977219,0.47,0.6616,23.7,1.35033831370532
India,2011,South Asia,48.60390472,0.63,0.7376,23.9,1.28851296178524
India,2012,South Asia,48.94621658,0.49,0.6982,23.7,1.23148489388617
India,2013,South Asia,56.11839676,0.49,0.7182,22.7,1.18290421490412
India,2014,South Asia,57.07431793,0.52,0.7247,1,1.14567340150608
India,2016,South Asia,60.60255051,0.48,0.759,22.6,1.09045932094686
India,2017,South Asia,69.32007599,0.53,0.7779,22.2,1.06335942989132
Indonesia,2009,East Asia & Pacific,65.10107422,0.59,0.1448,26.2,1.32921737939261
Indonesia,2010,East Asia & Pacific,92.45002747,0.57,0.1395,26.1,1.3377824768766
Indonesia,2012,East Asia & Pacific,107.24232483,0.83,0.3075,25.8,1.35169978721169
Indonesia,2013,East Asia & Pacific,107.29182434,0.99,0.3118,25.7,1.34077086414715
Indonesia,2015,East Asia & Pacific,99.65550232,0.98,0.2738,25.6,1.26782970253157
Indonesia,2017,East Asia & Pacific,110.04980469,1.04,0.3767,25.2,1.17619742367279
"Iran, Islamic Rep.",2004,Middle East & North Africa,142.40454102,1.63,0.8817,18.7,1.20860369914445
"Iran, Islamic Rep.",2005,Middle East & North Africa,174.84387207,1.72,0.8869,18.1,1.16942405470936
"Iran, Islamic Rep.",2006,Middle East & North Africa,199.80201721,1.72,0.5361,17.6,1.1294694920759
"Iran, Islamic Rep.",2010,Middle East & North Africa,445.66363525,1.74,0.89,15.5,1.14215042395487
"Iran, Islamic Rep.",2014,Middle East & North Africa,387.37609863,1.5,1.5044,15.3,1.27812132080551
"Iran, Islamic Rep.",2015,Middle East & North Africa,379.27563477,1.5,1.1526,15.4,1.31632102523348
"Iran, Islamic Rep.",2017,Middle East & North Africa,478.36148071,1.56,1.1292,15.1,1.38533380166753
Iraq,2004,Middle East & North Africa,53.50862122,1.33,0.658,27.9,2.57657198487226
Iraq,2005,Middle East & North Africa,53.76188278,1.3,0.66,27.6,2.28591989338176
Iraq,2007,Middle East & North Africa,98.87436676,1.33,0.528,27.1,1.67317235579873
Iraq,2010,Middle East & North Africa,150.45606995,1.3,0.6636,26.3,2.61896343035427
Iraq,2014,Middle East & North Africa,190.69332886,1.38,1.0364,24.6,3.71481632582884
Iraq,2016,Middle East & North Africa,154.18597412,1.3,0.8536,1,2.87723163897077
Iraq,2017,Middle East & North Africa,214.3563385,1.32,0.8375,23.7,2.54089597268518
Ireland,2000,Europe & Central Asia,1564.83740234,6.13,2.2304,17.7,1.33304266586712
Ireland,2001,Europe & Central Asia,1823.73474121,5.86,2.3856,16.7,1.59215149039299
Ireland,2002,Europe & Central Asia,2200.35742188,5.78,2.4166,15.7,1.68514885730282
Ireland,2003,Europe & Central Asia,2910.93212891,5.67,2.5803,15.4,1.62895096193019
Ireland,2004,Europe & Central Asia,3483.16064453,5.64,2.7454,14.5,1.82831381790901
Ireland,2005,Europe & Central Asia,3938.19116211,5.46,3.5427,13.9,2.17870301355631
Ireland,2006,Europe & Central Asia,4147.13232422,5.26,3.6638,13.4,2.69600564359576
Ireland,2007,Europe & Central Asia,4858.64501953,5.1,3.8986,1,2.89096000464164
Ireland,2008,Europe & Central Asia,5638.77929688,4.85,4.0144,1,2.03870801117202
Ireland,2009,Europe & Central Asia,5502.88769531,2.83,4.0388,12.8,1.01566327592341
Ireland,2010,Europe & Central Asia,5133.45507813,2.73,4.1326,11.3,0.544884384079014
Ireland,2011,Europe & Central Asia,5570.70556641,2.62,4.0938,11.9,0.436072439258428
Ireland,2012,Europe & Central Asia,5239.33789063,2.54,3.9423,11.6,0.4237438032978
Ireland,2013,Europe & Central Asia,5331.60058594,2.56,3.9314,11.4,0.526556158855653
Ireland,2014,Europe & Central Asia,5399.59863281,2.57,3.0292,10.9,0.731001376585771
Ireland,2015,Europe & Central Asia,4561.73779297,2.92,3.1498,10.6,0.944845307474728
Ireland,2016,Europe & Central Asia,4717.56835938,2.96,3.2323,10.4,1.12883406399428
Ireland,2017,Europe & Central Asia,5019.70117188,2.97,3.2946,10.2,1.08867556062
Israel,2000,Middle East & North Africa,1513.94470215,3.85,3.822,14.3,2.64233191305756
Israel,2001,Middle East & North Africa,1559.08325195,3.86,3.8398,13.7,2.35711729946802
Israel,2002,Middle East & North Africa,1403.31604004,3.81,3.851,1,2.01405839404727
Israel,2003,Middle East & North Africa,1433.67077637,3.86,3.8513,12.7,1.80551975888109
Israel,2004,Middle East & North Africa,1488.16137695,3.8,3.8126,1,1.76762364154994
Israel,2005,Middle East & North Africa,1555.03601074,3.73,3.754,12.2,1.76289766113006
Israel,2006,Middle East & North Africa,1593.60986328,3.4,3.6935,11.6,1.76780587358185
Israel,2007,Middle East & North Africa,1799.73254395,3.35,3.6293,11.5,1.7761008691798
Israel,2008,Middle East & North Africa,2144.8215332,3.3,3.5637,1,1.7765791059698
Israel,2009,Middle East & North Africa,2039.00305176,3.19,3.543,10.3,2.39020733801215
Israel,2010,Middle East & North Africa,2234.94970703,3.16,3.5191,10.4,1.82675240987847
Israel,2011,Middle East & North Africa,2437.04614258,3.14,3.5177,1,1.84807786159597
Israel,2012,Middle East & North Africa,2402.91577148,3.1,3.5075,9.9,1.84615132126711
Israel,2013,Middle East & North Africa,2678.36181641,3.09,3.4866,9.9,1.86605289478673
Israel,2014,Middle East & North Africa,2819.57177734,3.08,3.4669,9.5,1.91954379859591
Israel,2015,Middle East & North Africa,2670.46679688,3.03,3.4618,9.6,1.98128897562083
Israel,2016,Middle East & North Africa,2813.3359375,2.99,3.4632,9.2,1.9603489624817
Israel,2017,Middle East & North Africa,3212.79150391,3.02,3.4783,1,1.93872567441099
Italy,2000,Europe & Central Asia,1524.23962402,4.71,3.4586,13.6,0.045303631138613
Italy,2001,Europe & Central Asia,1586.65710449,4.61,3.5129,13.2,0.0561676014374784
Italy,2002,Europe & Central Asia,1762.53759766,4.44,3.5584,12.9,0.148916429490753
Italy,2003,Europe & Central Asia,2163.02539063,4.18,3.6149,12.7,0.444507312655549
Italy,2004,Europe & Central Asia,2565.62744141,4.02,3.6809,1,0.647182705470772
Italy,2005,Europe & Central Asia,2677.55224609,4.04,3.7017,11.8,0.491389107503214
Italy,2006,Europe & Central Asia,2832.69775391,3.99,3.6985,11.4,0.30055968851778
Italy,2007,Europe & Central Asia,3092.55883789,3.91,3.7751,11.2,0.504933687397673
Italy,2008,Europe & Central Asia,3504.11157227,3.79,3.7806,10.9,0.662469252941527
Italy,2009,Europe & Central Asia,3337.75073242,3.69,3.7898,10.8,0.455613449577732
Italy,2010,Europe & Central Asia,3217.68286133,3.64,3.816,10.4,0.30759122234095
Italy,2011,Europe & Central Asia,3392.01269531,3.52,3.8846,10.5,0.171978290995717
Italy,2012,Europe & Central Asia,3086.30322266,3.42,3.8514,10.4,0.269541239520996
Italy,2013,Europe & Central Asia,3149.24267578,3.31,3.9044,1,1.1592511168095
Italy,2014,Europe & Central Asia,3154.27587891,3.21,3.9048,9.8,0.917504095962437
Italy,2015,Europe & Central Asia,2675.67163086,3.2,3.8479,9.8,-0.0963761331392095
Italy,2016,Europe & Central Asia,2699.73291016,3.17,3.9504,9.3,-0.169884073301448
Italy,2017,Europe & Central Asia,2809.72143555,3.18,3.9805,9.4,-0.14986111697397
Jamaica,2003,Latin America & Caribbean,146.88262939,1.3999999762,0.8315,16.6,0.614372047606307
Jamaica,2012,Latin America & Caribbean,254.50778198,1.67,0.354,15.5,0.57148456718391
Jamaica,2013,Latin America & Caribbean,247.21296692,1.66,0.4677,15.2,0.581740676170178
Jamaica,2015,Latin America & Caribbean,276.05673218,1.69,0.4147,16.8,0.551043933758775
Jamaica,2016,Latin America & Caribbean,276.45974731,1.78,0.4549,16.7,0.525007303608295
Jamaica,2017,Latin America & Caribbean,311.87005615,1.72,1.3061,16.6,0.501314741642566
Japan,2000,East Asia & Pacific,2740.67480469,14.69,2.0058,11.4,0.167275578113187
Japan,2002,East Asia & Pacific,2404.64648438,14.43,2.054,10.8,0.232527187105684
Japan,2004,East Asia & Pacific,2875.93359375,14.2,2.1089,10.5,0.0336622582725446
Japan,2006,East Asia & Pacific,2754.37744141,13.97,2.0746000000000002,1,0.0633735894181335
Japan,2008,East Asia & Pacific,3213.69555664,13.71,2.1394,9.7,0.0484253945978966
Japan,2010,East Asia & Pacific,4060.4909668,13.51,2.2059,9.5,0.0179605415195644
Japan,2012,East Asia & Pacific,5212.18359375,13.35,2.274,9.1,-0.159710675844347
